Book_Name,Author_Name,Book_URL,Book_Type,Price,Star_Rating,Reviews
"India that is Bharat: Coloniality, Civilisation, Constitution",J Sai Deepak,https://amazon.in/India-that-Bharat-Civilisation-Constitution/dp/9354352499/ref=zg_bs_books_8/000-0000000-0000000?pd_rd_i=9354352499&psc=1,Hardcover,₹499.00,4.8 out of 5 stars,"3,150"
"The Courage To Be Disliked: How to free yourself, change your life and achieve real happiness (Courage To series)",Ichiro Kishimi and Fumitake Koga,https://amazon.in/Courage-Disliked-Ichiro-Kishimi-Fumitake/dp/1760630721/ref=zg_bs_books_9/000-0000000-0000000?pd_rd_i=1760630721&psc=1,Hardcover,₹324.00,4.5 out of 5 stars,"2,608"
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,Dale Carnegie,https://amazon.in/Worlds-Greatest-Personal-Growth-Wealth/dp/9389432014/ref=zg_bs_books_10/000-0000000-0000000?pd_rd_i=9389432014&psc=1,Paperback,₹299.00,4.5 out of 5 stars,"18,183"
"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write and Practice Capital Letters, Small Letters, Patterns and Numbers 1 to 10)",Wonder House Books,https://amazon.in/Writing-Fun-Set-Books-Practice/dp/9387779777/ref=zg_bs_books_11/000-0000000-0000000?pd_rd_i=9387779777&psc=1,Paperback,₹159.00,4.3 out of 5 stars,"8,532"
"Karma: A Yogi's Guide to Crafting Your Destiny | Spirituality, Self-improvement & Self help books by Sadhguru | Penguin",Sadhguru,https://amazon.in/Karma-PUBLISHERS-BESTSELLER-spirituality-self-improvement/dp/0143452673/ref=zg_bs_books_12/000-0000000-0000000?pd_rd_i=0143452673&psc=1,Paperback,₹208.36,4.7 out of 5 stars,"8,136"
The Alchemist,Paulo Coelho,https://amazon.in/Alchemist-Paulo-Coelho/dp/8172234988/ref=zg_bs_books_13/000-0000000-0000000?pd_rd_i=8172234988&psc=1,Paperback,₹250.00,4.6 out of 5 stars,"73,362"
"Oswaal CBSE Question Bank Chapterwise For Term 2, Class 10, Social Science (For 2022 Exam)",Oswaal Editorial Board,https://amazon.in/Oswaal-Question-Chapterwise-Social-Science/dp/9354636632/ref=zg_bs_books_14/000-0000000-0000000?pd_rd_i=9354636632&psc=1,Paperback,₹190.00,4.4 out of 5 stars,243
CBSE All In One English Core Class 12 2022-23 Edition,Nandini Sharma Srishti Agarwal,https://amazon.in/CBSE-English-Core-Class-2022-23/dp/9326193101/ref=zg_bs_books_15/000-0000000-0000000?pd_rd_i=9326193101&psc=1,Paperback,₹381.00,3.9 out of 5 stars,6
"Oswal - Gurukul 36 Sample Question Papers Commerce CBSE Class 12 Term II Exam 2022 : Solved New SQP Pattern (Accountancy, Business Studies, Economics, Mathematics, English, Physical Education)",Oswal - Gurukul,https://amazon.in/Oswal-Accountancy-Economics-Mathematics-Education/dp/9392563663/ref=zg_bs_books_16/000-0000000-0000000?pd_rd_i=9392563663&psc=1,Paperback,₹309.00,4.4 out of 5 stars,27
Great Stories for Children,Ruskin Bond,https://amazon.in/Great-Stories-Children-Ruskin-Bond/dp/8129118920/ref=zg_bs_books_17/000-0000000-0000000?pd_rd_i=8129118920&psc=1,Paperback,₹122.00,4.5 out of 5 stars,"9,204"
"Life's Amazing Secrets: How to Find Balance and Purpose in Your Life | Inspirational Zen book on motivation, self-development & healthy living",Gaur Gopal Das,https://amazon.in/Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295/ref=zg_bs_books_18/000-0000000-0000000?pd_rd_i=0143442295&psc=1,Paperback,₹175.00,4.6 out of 5 stars,"14,924"
CBSE All In One English Language & Literature Class 10 2022-23 Edition,Srishti Agarwal,https://amazon.in/English-Language-Literature-Class-2022-23/dp/B09RMZT7B8/ref=zg_bs_books_19/000-0000000-0000000?pd_rd_i=B09RMZT7B8&psc=1,Paperback,₹360.00,4.6 out of 5 stars,7
"Tiger of Drass: Capt. Anuj Nayyar, 23, Kargil Hero",Meena Nayyar,https://amazon.in/Tiger-Drass-Capt-Nayyar-Kargil/dp/9354229263/ref=zg_bs_books_20/000-0000000-0000000?pd_rd_i=9354229263&psc=1,Paperback,₹195.00,4.9 out of 5 stars,54
